id;restaurant_id;restaurant_name;address
1;Buckinghamshire Ports;Devolved driver Networked;Fish
2;payment calculating;local area network Benin;turn-key dedicated
3;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar
4;white sensor local;calculate;Chips
5;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible
6;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
7;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal
8;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders
9;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces
10;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end
